Unnamed: 0,Exp Count,Kill,Cluster,Label
374,0.23247205,3.985235147,0,Unknown
375,0.121323391,3.738966327,0,Unknown
376,0.198605974,3.888495916,0,Unknown
377,0.077777691,3.899995667,0,Unknown
378,0.184210551,3.815789976,0,Unknown
379,0.251101344,4.017621499,0,Unknown
380,0.162499959,3.862499034,0,Unknown
381,0.107142793,3.654759729,0,Unknown
382,0.117391315,3.521739437,0,Unknown
383,0.11440676,3.966101023,0,Unknown
384,0.077490683,3.675272413,0,Unknown
385,0.092307614,3.680766116,0,Unknown
386,0.184782388,3.586952233,0,Unknown
387,0.144329674,3.793808566,0,Unknown
388,0.211655987,4.012261323,0,Unknown
389,0.088607573,3.405062429,0,Unknown
390,0.217021258,3.523403955,0,Unknown
391,0.142857058,3.464283652,0,Unknown
392,0.242152542,3.551570622,0,Unknown
393,0.116607605,3.466426073,0,Unknown
394,0.095999946,3.491998044,0,Unknown
395,0.096428441,3.953566063,0,Unknown
396,0.169811154,3.622637955,0,Unknown
397,0.204255302,3.548935868,0,Unknown
398,0.16139215,3.759487722,0,Unknown
399,0.119999852,3.490904775,0,Unknown
400,0.17374504,3.741309852,0,Unknown
401,0.159835994,3.577867239,0,Unknown
402,0.13740446,3.354958887,0,Unknown
403,0.108870911,3.641127124,0,Unknown
404,0.218623384,3.655868817,0,Unknown
405,0.127906873,3.790694589,0,Unknown
406,0.110768958,3.70152935,0,Unknown
407,0.157894395,3.808041283,0,Unknown
408,0.167330571,3.836650941,0,Unknown
409,0.099667609,3.777402363,0,Unknown
410,0.060344672,3.594818289,0,Unknown
411,0.193068972,3.868805178,0,Unknown
412,0.16666634,4.068619473,0,Unknown
413,0.212013827,4.038863407,0,Unknown
414,0.077205794,3.816172121,0,Unknown
415,0.102661499,3.866916476,0,Unknown
416,0.17374504,3.833973873,0,Unknown
417,0.073943558,3.992952123,0,Unknown
418,0.122222086,4.099995444,0,Unknown
419,0.064655167,3.336206609,0,Unknown
420,0.14062489,3.843746997,0,Unknown
421,0.076595738,3.561701825,0,Unknown
422,0.121457436,3.728743279,0,Unknown
423,0.112499972,3.39999915,0,Unknown
424,0.115384601,3.551281596,0,Unknown
425,0.165516979,4.003441926,0,Unknown
426,0.095238039,3.488093162,0,Unknown
427,0.166051464,3.819183682,0,Unknown
428,0.245352904,3.981408495,0,Unknown
429,0.13953477,3.674415614,0,Unknown
430,0.207692132,3.819227538,0,Unknown
431,0.047999973,3.683997937,0,Unknown
432,0.150627571,3.476986429,0,Unknown
433,0.114068333,3.923950643,0,Unknown
434,0.116278975,3.616276126,0,Unknown
435,0.109311692,3.680160304,0,Unknown
436,0.21348293,3.898872462,0,Unknown
437,0.12195116,3.743900613,0,Unknown
438,0.140287583,4.143879377,0,Unknown
439,0.062068867,3.744821646,0,Unknown
440,0.081395283,3.790694589,0,Unknown
441,0.175732166,3.451881834,0,Unknown
442,0.217557061,3.80152338,0,Unknown
443,0.117856983,3.889280436,0,Unknown
444,0.224999695,3.932137521,0,Unknown
